sequence_id,time_index,split,condition,temperature_clean,pressure_clean,vibration_clean,concentration_clean,temperature_obs,pressure_obs,vibration_obs,concentration_obs,quality,is_corrupted,corruption_type,corruption_feature,corruption_magnitude
train_0000,0,train,high_vibration,313.7689008,2.193025726,0.7602061399,0.8582704905,313.7689008,2.193025726,0.7602061399,0.8582704905,0.9863986764,False,none,none,0
train_0000,1,train,high_vibration,313.3833872,2.171451081,0.7754149549,0.8576594934,313.3833872,2.171451081,0.7754149549,0.8576594934,0.9859834371,False,none,none,0
train_0000,2,train,high_vibration,313.3396328,2.167047653,0.789733295,0.8589358897,313.3396328,2.167047653,0.789733295,0.8589358897,0.9856750709,False,none,none,0
train_0000,3,train,high_vibration,313.258144,2.186120921,0.7851179635,0.8611649054,313.258144,2.186120921,0.7851179635,0.8611649054,0.9853057305,False,none,none,0
train_0000,4,train,high_vibration,314.2060445,2.206643016,0.7689157345,0.8549235725,314.2060445,2.206643016,0.7689157345,0.8549235725,0.9849167873,False,none,none,0
train_0000,5,train,high_vibration,314.5544393,2.205378936,0.7715236413,0.8601383072,314.5544393,2.205378936,0.7715236413,0.8601383072,0.9846170667,False,none,none,0
train_0000,6,train,high_vibration,313.7669115,2.189324363,0.7680783751,0.8580828914,313.7669115,2.189324363,0.7680783751,0.8580828914,0.9845798115,False,none,none,0
train_0000,7,train,high_vibration,313.4067539,2.166036186,0.8061040064,0.8604480478,313.4067539,1.793404131,0.8061040064,0.8604480478,0.9846065921,True,spike,pressure,-0.3726320554
train_0000,8,train,high_vibration,314.0034871,2.190939851,0.8010158974,0.8554200841,314.0034871,2.190939851,0.8010158974,0.8554200841,0.9842940648,False,none,none,0
train_0000,9,train,high_vibration,314.7953068,2.210978801,0.7605571868,0.8540608535,314.7953068,2.210978801,0.7605571868,0.8540608535,0.9843194682,False,none,none,0
train_0000,10,train,high_vibration,315.5495258,2.229832774,0.7761132751,0.8507550901,315.5495258,2.229832774,0.7761132751,0.8507550901,0.984075865,False,none,none,0
train_0000,11,train,high_vibration,314.8287353,2.222481234,0.793392851,0.8543696738,314.8287353,2.222481234,0.793392851,0.8543696738,0.9840715779,False,none,none,0
train_0000,12,train,high_vibration,315.2517805,2.21438829,0.7805604503,0.8482251758,315.2517805,2.21438829,0.7805604503,0.8482251758,0.9837942753,False,none,none,0
train_0000,13,train,high_vibration,314.7685997,2.227345818,0.8051917473,0.8472517447,314.7685997,2.227345818,0.8051917473,0.8472517447,0.9835507018,False,none,none,0
train_0000,14,train,high_vibration,315.523947,2.24766605,0.790503977,0.8455968655,315.523947,2.24766605,0.790503977,0.8455968655,0.983332747,False,none,none,0
train_0000,15,train,high_vibration,316.0261802,2.250967951,0.8343772034,0.8447527737,316.0261802,2.250967951,0.8343772034,0.8447527737,0.9835265183,False,none,none,0
train_0000,16,train,high_vibration,316.1236522,2.25588811,0.8240439403,0.845339395,316.1236522,2.25588811,0.8240439403,0.845339395,0.9833461736,False,none,none,0
train_0000,17,train,high_vibration,316.7074037,2.27904141,0.840521706,0.8375653395,316.7074037,2.27904141,0.840521706,0.8375653395,0.9829338508,False,none,none,0
train_0000,18,train,high_vibration,316.869874,2.28473381,0.8567553445,0.8374023595,316.869874,2.28473381,0.8567553445,0.8374023595,0.9827409945,False,none,none,0
train_0000,19,train,high_vibration,317.3597694,2.283266765,0.8388341105,0.8381745569,317.3597694,2.283266765,0.8388341105,0.8381745569,0.9823387272,False,none,none,0
train_0000,20,train,high_vibration,317.1983149,2.305811824,0.8438866737,0.8344814194,317.1983149,2.305811824,0.8438866737,0.8344814194,0.9819177213,False,none,none,0
train_0000,21,train,high_vibration,316.4238731,2.267850628,0.8156135051,0.8436014843,316.4238731,2.267850628,0.8156135051,0.8436014843,0.9816959457,False,none,none,0
train_0000,22,train,high_vibration,316.0634286,2.260534513,0.8192279598,0.836833276,316.0634286,2.260534513,0.8192279598,0.836833276,0.9813872252,False,none,none,0
train_0000,23,train,high_vibration,315.771619,2.248046704,0.7869277744,0.8422047506,315.771619,2.248046704,0.7869277744,0.8422047506,0.9811114467,False,none,none,0
