seed,method,corruption_type,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction
42,single_marginal,spike,117,39,36,38,3,40,0.4864864864864865,0.9230769230769231,0.6371681415929203,0.48717948717948717,0.6020112515501492,0.5128205128205128,39,0.48717948717948717,78,,1.0,1.0
42,single_marginal,bias,117,39,11,44,28,34,0.2,0.28205128205128205,0.23404255319148937,0.5641025641025641,0.26629425731277406,0.1794871794871795,39,0.5641025641025641,78,,1.0,1.0
42,single_marginal,drift,114,38,26,17,12,59,0.6046511627906976,0.6842105263157895,0.6419753086419753,0.2236842105263158,0.45760604796811155,0.6052631578947368,38,0.2236842105263158,76,,1.0,1.0
42,single_marginal,random_replacement,114,38,15,35,23,41,0.3,0.39473684210526316,0.3409090909090909,0.4605263157894737,0.41727925522916287,0.42105263157894735,38,0.4605263157894737,76,,1.0,1.0
42,pooled_marginal,spike,117,39,33,1,6,77,0.9705882352941176,0.8461538461538461,0.9041095890410958,0.01282051282051282,0.9628955037036079,0.9487179487179487,39,0.01282051282051282,78,,1.0,1.0
42,pooled_marginal,bias,117,39,7,0,32,78,1.0,0.1794871794871795,0.30434782608695654,0.0,0.7052201287687683,0.6153846153846154,39,0.0,78,,1.0,1.0
42,pooled_marginal,drift,114,38,15,2,23,74,0.8823529411764706,0.39473684210526316,0.5454545454545454,0.02631578947368421,0.7096987668606638,0.6052631578947368,38,0.02631578947368421,76,,1.0,1.0
42,pooled_marginal,random_replacement,114,38,1,1,37,75,0.5,0.02631578947368421,0.05,0.013157894736842105,0.3725123156099457,0.3684210526315789,38,0.013157894736842105,76,,1.0,1.0
42,regime_marginal,spike,117,39,35,1,4,77,0.9722222222222222,0.8974358974358975,0.9333333333333333,0.01282051282051282,0.9908936038575489,0.9743589743589743,39,0.01282051282051282,78,,1.0,1.0
42,regime_marginal,bias,117,39,18,1,21,77,0.9473684210526315,0.46153846153846156,0.6206896551724138,0.01282051282051282,0.8303507687489856,0.7692307692307693,39,0.01282051282051282,78,,1.0,1.0
42,regime_marginal,drift,114,38,32,1,6,75,0.9696969696969697,0.8421052631578947,0.9014084507042254,0.013157894736842105,0.9859285792432076,0.9736842105263158,38,0.013157894736842105,76,,1.0,1.0
42,regime_marginal,random_replacement,114,38,15,0,23,76,1.0,0.39473684210526316,0.5660377358490566,0.0,0.7774304102619722,0.8157894736842105,38,0.0,76,,1.0,1.0
42,pooled_conditional,spike,117,39,36,28,3,50,0.5625,0.9230769230769231,0.6990291262135923,0.358974358974359,0.7393184592379277,1.0,39,0.358974358974359,78,,1.0,1.0
42,pooled_conditional,bias,117,39,12,5,27,73,0.7058823529411765,0.3076923076923077,0.42857142857142855,0.0641025641025641,0.600765756050937,0.7948717948717948,39,0.0641025641025641,78,,1.0,1.0
42,pooled_conditional,drift,114,38,25,22,13,54,0.5319148936170213,0.6578947368421053,0.5882352941176471,0.2894736842105263,0.6003727485291335,0.6578947368421053,38,0.2894736842105263,76,,1.0,1.0
42,pooled_conditional,random_replacement,114,38,11,13,27,63,0.4583333333333333,0.2894736842105263,0.3548387096774194,0.17105263157894737,0.47687186997237474,0.5526315789473685,38,0.17105263157894737,76,,1.0,1.0
42,regime_conditional,spike,117,39,39,35,0,43,0.527027027027027,1.0,0.6902654867256637,0.44871794871794873,0.8632527030384228,1.0,39,0.44871794871794873,78,,1.0,1.0
42,regime_conditional,bias,117,39,19,6,20,72,0.76,0.48717948717948717,0.59375,0.07692307692307693,0.7577997166684957,0.7435897435897436,39,0.07692307692307693,78,,1.0,1.0
42,regime_conditional,drift,114,38,33,36,5,40,0.4782608695652174,0.868421052631579,0.616822429906542,0.47368421052631576,0.7705263437031263,0.9473684210526315,38,0.47368421052631576,76,,1.0,1.0
42,regime_conditional,random_replacement,114,38,17,18,21,58,0.4857142857142857,0.4473684210526316,0.4657534246575342,0.23684210526315788,0.5836412045385087,0.7631578947368421,38,0.23684210526315788,76,,1.0,1.0
43,single_marginal,spike,117,39,35,25,4,53,0.5833333333333334,0.8974358974358975,0.7070707070707071,0.32051282051282054,0.7250343815701369,0.6923076923076923,39,0.32051282051282054,78,,1.0,1.0
43,single_marginal,bias,117,39,24,58,15,20,0.2926829268292683,0.6153846153846154,0.39669421487603307,0.7435897435897436,0.24168330064946275,0.0,39,0.7435897435897436,78,,1.0,1.0
43,single_marginal,drift,114,38,24,49,14,27,0.3287671232876712,0.631578947368421,0.43243243243243246,0.6447368421052632,0.6099017219001763,0.47368421052631576,38,0.6447368421052632,76,,1.0,1.0
43,single_marginal,random_replacement,114,38,18,31,20,45,0.3673469387755102,0.47368421052631576,0.41379310344827586,0.40789473684210525,0.4602315543686091,0.4473684210526316,38,0.40789473684210525,76,,1.0,1.0
43,pooled_marginal,spike,117,39,28,3,11,75,0.9032258064516129,0.717948717948718,0.8,0.038461538461538464,0.8634723960954357,0.8717948717948718,39,0.038461538461538464,78,,1.0,1.0
43,pooled_marginal,bias,117,39,5,1,34,77,0.8333333333333334,0.1282051282051282,0.2222222222222222,0.01282051282051282,0.6363651012062064,0.7435897435897436,39,0.01282051282051282,78,,1.0,1.0
43,pooled_marginal,drift,114,38,18,1,20,75,0.9473684210526315,0.47368421052631576,0.631578947368421,0.013157894736842105,0.6907168042668937,0.5789473684210527,38,0.013157894736842105,76,,1.0,1.0
43,pooled_marginal,random_replacement,114,38,0,3,38,73,0.0,0.0,0.0,0.039473684210526314,0.37742455452087303,0.42105263157894735,38,0.039473684210526314,76,,1.0,1.0
43,regime_marginal,spike,117,39,36,2,3,76,0.9473684210526315,0.9230769230769231,0.935064935064935,0.02564102564102564,0.9841725594149322,1.0,39,0.02564102564102564,78,,1.0,1.0
43,regime_marginal,bias,117,39,17,1,22,77,0.9444444444444444,0.4358974358974359,0.5964912280701754,0.01282051282051282,0.816552246028767,0.7435897435897436,39,0.01282051282051282,78,,1.0,1.0
43,regime_marginal,drift,114,38,18,0,20,76,1.0,0.47368421052631576,0.6428571428571429,0.0,0.8081638115347854,0.7631578947368421,38,0.0,76,,1.0,1.0
43,regime_marginal,random_replacement,114,38,17,1,21,75,0.9444444444444444,0.4473684210526316,0.6071428571428571,0.013157894736842105,0.7599769794030955,0.7631578947368421,38,0.013157894736842105,76,,1.0,1.0
43,pooled_conditional,spike,117,39,35,23,4,55,0.603448275862069,0.8974358974358975,0.7216494845360825,0.2948717948717949,0.7291903318605352,0.9230769230769231,39,0.2948717948717949,78,,1.0,1.0
43,pooled_conditional,bias,117,39,18,10,21,68,0.6428571428571429,0.46153846153846156,0.5373134328358209,0.1282051282051282,0.6354341103727955,0.6923076923076923,39,0.1282051282051282,78,,1.0,1.0
43,pooled_conditional,drift,114,38,17,10,21,66,0.6296296296296297,0.4473684210526316,0.5230769230769231,0.13157894736842105,0.6413818328806864,0.7631578947368421,38,0.13157894736842105,76,,1.0,1.0
43,pooled_conditional,random_replacement,114,38,8,7,30,69,0.5333333333333333,0.21052631578947367,0.3018867924528302,0.09210526315789473,0.4219254737682321,0.42105263157894735,38,0.09210526315789473,76,,1.0,1.0
43,regime_conditional,spike,117,39,37,33,2,45,0.5285714285714286,0.9487179487179487,0.6788990825688074,0.4230769230769231,0.6836138230004067,1.0,39,0.4230769230769231,78,,1.0,1.0
43,regime_conditional,bias,117,39,24,3,15,75,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.038461538461538464,0.7815779067316079,0.8461538461538461,39,0.038461538461538464,78,,1.0,1.0
43,regime_conditional,drift,114,38,21,10,17,66,0.6774193548387096,0.5526315789473685,0.6086956521739131,0.13157894736842105,0.7088705541463913,0.7894736842105263,38,0.13157894736842105,76,,1.0,1.0
43,regime_conditional,random_replacement,114,38,17,17,21,59,0.5,0.4473684210526316,0.4722222222222222,0.2236842105263158,0.6003242964550056,0.7894736842105263,38,0.2236842105263158,76,,1.0,1.0
44,single_marginal,spike,117,39,36,26,3,52,0.5806451612903226,0.9230769230769231,0.7128712871287128,0.3333333333333333,0.744462930409752,0.6666666666666666,39,0.3333333333333333,78,,1.0,1.0
44,single_marginal,bias,117,39,34,45,5,33,0.43037974683544306,0.8717948717948718,0.576271186440678,0.5769230769230769,0.4248189118072102,0.46153846153846156,39,0.5769230769230769,78,,1.0,1.0
44,single_marginal,drift,114,38,25,15,13,61,0.625,0.6578947368421053,0.6410256410256411,0.19736842105263158,0.6540763948921982,0.6842105263157895,38,0.19736842105263158,76,,1.0,1.0
44,single_marginal,random_replacement,114,38,18,32,20,44,0.36,0.47368421052631576,0.4090909090909091,0.42105263157894735,0.3944426305225158,0.3684210526315789,38,0.42105263157894735,76,,1.0,1.0
44,pooled_marginal,spike,117,39,30,0,9,78,1.0,0.7692307692307693,0.8695652173913043,0.0,0.9512076526768408,0.8974358974358975,39,0.0,78,,1.0,1.0
44,pooled_marginal,bias,117,39,15,0,24,78,1.0,0.38461538461538464,0.5555555555555556,0.0,0.811575073235787,0.7948717948717948,39,0.0,78,,1.0,1.0
44,pooled_marginal,drift,114,38,2,0,36,76,1.0,0.05263157894736842,0.1,0.0,0.4458017848570651,0.3684210526315789,38,0.0,76,,1.0,1.0
44,pooled_marginal,random_replacement,114,38,0,1,38,75,0.0,0.0,0.0,0.013157894736842105,0.38532184271023556,0.42105263157894735,38,0.013157894736842105,76,,1.0,1.0
44,regime_marginal,spike,117,39,37,0,2,78,1.0,0.9487179487179487,0.9736842105263158,0.0,0.9964287848903234,1.0,39,0.0,78,,1.0,1.0
44,regime_marginal,bias,117,39,30,0,9,78,1.0,0.7692307692307693,0.8695652173913043,0.0,0.9500258845968833,0.9487179487179487,39,0.0,78,,1.0,1.0
44,regime_marginal,drift,114,38,24,0,14,76,1.0,0.631578947368421,0.7741935483870968,0.0,0.8489407357370677,0.7894736842105263,38,0.0,76,,1.0,1.0
44,regime_marginal,random_replacement,114,38,11,1,27,75,0.9166666666666666,0.2894736842105263,0.44,0.013157894736842105,0.6856295878705874,0.5789473684210527,38,0.013157894736842105,76,,1.0,1.0
44,pooled_conditional,spike,117,39,36,25,3,53,0.5901639344262295,0.9230769230769231,0.72,0.32051282051282054,0.7443406679954826,0.9230769230769231,39,0.32051282051282054,78,,1.0,1.0
44,pooled_conditional,bias,117,39,21,9,18,69,0.7,0.5384615384615384,0.6086956521739131,0.11538461538461539,0.7416379498236101,0.8461538461538461,39,0.11538461538461539,78,,1.0,1.0
44,pooled_conditional,drift,114,38,4,4,34,72,0.5,0.10526315789473684,0.17391304347826086,0.05263157894736842,0.43933726867102074,0.3684210526315789,38,0.05263157894736842,76,,1.0,1.0
44,pooled_conditional,random_replacement,114,38,8,7,30,69,0.5333333333333333,0.21052631578947367,0.3018867924528302,0.09210526315789473,0.45374958064292215,0.42105263157894735,38,0.09210526315789473,76,,1.0,1.0
44,regime_conditional,spike,117,39,39,42,0,36,0.48148148148148145,1.0,0.65,0.5384615384615384,0.7482060929326846,0.9743589743589743,39,0.5384615384615384,78,,1.0,1.0
44,regime_conditional,bias,117,39,32,20,7,58,0.6153846153846154,0.8205128205128205,0.7032967032967034,0.2564102564102564,0.8108019470967235,0.9487179487179487,39,0.2564102564102564,78,,1.0,1.0
44,regime_conditional,drift,114,38,23,27,15,49,0.46,0.6052631578947368,0.5227272727272727,0.35526315789473684,0.7044479588853652,0.7631578947368421,38,0.35526315789473684,76,,1.0,1.0
44,regime_conditional,random_replacement,114,38,12,12,26,64,0.5,0.3157894736842105,0.3870967741935484,0.15789473684210525,0.546329753009773,0.631578947368421,38,0.15789473684210525,76,,1.0,1.0
45,single_marginal,spike,117,39,36,28,3,50,0.5625,0.9230769230769231,0.6990291262135923,0.358974358974359,0.657133388568625,0.6410256410256411,39,0.358974358974359,78,,1.0,1.0
45,single_marginal,bias,117,39,28,32,11,46,0.4666666666666667,0.717948717948718,0.5656565656565656,0.41025641025641024,0.47093862180108514,0.5897435897435898,39,0.41025641025641024,78,,1.0,1.0
45,single_marginal,drift,114,38,33,10,5,66,0.7674418604651163,0.868421052631579,0.8148148148148148,0.13157894736842105,0.6798189308914504,0.7368421052631579,38,0.13157894736842105,76,,1.0,1.0
45,single_marginal,random_replacement,114,38,14,32,24,44,0.30434782608695654,0.3684210526315789,0.3333333333333333,0.42105263157894735,0.3572848543389481,0.3684210526315789,38,0.42105263157894735,76,,1.0,1.0
45,pooled_marginal,spike,117,39,26,0,13,78,1.0,0.6666666666666666,0.8,0.0,0.9503059018512474,0.9487179487179487,39,0.0,78,,1.0,1.0
45,pooled_marginal,bias,117,39,9,0,30,78,1.0,0.23076923076923078,0.375,0.0,0.5293679083669173,0.41025641025641024,39,0.0,78,,1.0,1.0
45,pooled_marginal,drift,114,38,15,1,23,75,0.9375,0.39473684210526316,0.5555555555555556,0.013157894736842105,0.7411605102595057,0.6052631578947368,38,0.013157894736842105,76,,1.0,1.0
45,pooled_marginal,random_replacement,114,38,2,2,36,74,0.5,0.05263157894736842,0.09523809523809523,0.02631578947368421,0.3720070271537797,0.42105263157894735,38,0.02631578947368421,76,,1.0,1.0
45,regime_marginal,spike,117,39,35,2,4,76,0.9459459459459459,0.8974358974358975,0.9210526315789473,0.02564102564102564,0.9718087850142455,0.9743589743589743,39,0.02564102564102564,78,,1.0,1.0
45,regime_marginal,bias,117,39,20,0,19,78,1.0,0.5128205128205128,0.6779661016949152,0.0,0.9216036555819189,0.8717948717948718,39,0.0,78,,1.0,1.0
45,regime_marginal,drift,114,38,27,0,11,76,1.0,0.7105263157894737,0.8307692307692308,0.0,0.9039594867206863,0.9210526315789473,38,0.0,76,,1.0,1.0
45,regime_marginal,random_replacement,114,38,11,1,27,75,0.9166666666666666,0.2894736842105263,0.44,0.013157894736842105,0.69404563462498,0.7368421052631579,38,0.013157894736842105,76,,1.0,1.0
45,pooled_conditional,spike,117,39,33,26,6,52,0.559322033898305,0.8461538461538461,0.673469387755102,0.3333333333333333,0.7349480694723985,0.9743589743589743,39,0.3333333333333333,78,,1.0,1.0
45,pooled_conditional,bias,117,39,13,5,26,73,0.7222222222222222,0.3333333333333333,0.45614035087719296,0.0641025641025641,0.6315411556816154,0.5128205128205128,39,0.0641025641025641,78,,1.0,1.0
45,pooled_conditional,drift,114,38,22,18,16,58,0.55,0.5789473684210527,0.5641025641025641,0.23684210526315788,0.637927665789719,0.5789473684210527,38,0.23684210526315788,76,,1.0,1.0
45,pooled_conditional,random_replacement,114,38,9,8,29,68,0.5294117647058824,0.23684210526315788,0.32727272727272727,0.10526315789473684,0.48081369401705265,0.47368421052631576,38,0.10526315789473684,76,,1.0,1.0
45,regime_conditional,spike,117,39,36,40,3,38,0.47368421052631576,0.9230769230769231,0.6260869565217392,0.5128205128205128,0.7434877622376457,0.9743589743589743,39,0.5128205128205128,78,,1.0,1.0
45,regime_conditional,bias,117,39,27,6,12,72,0.8181818181818182,0.6923076923076923,0.75,0.07692307692307693,0.8534868368020606,0.8717948717948718,39,0.07692307692307693,78,,1.0,1.0
45,regime_conditional,drift,114,38,30,30,8,46,0.5,0.7894736842105263,0.6122448979591837,0.39473684210526316,0.6996355239484956,0.9210526315789473,38,0.39473684210526316,76,,1.0,1.0
45,regime_conditional,random_replacement,114,38,12,14,26,62,0.46153846153846156,0.3157894736842105,0.375,0.18421052631578946,0.5606002295820369,0.7368421052631579,38,0.18421052631578946,76,,1.0,1.0
46,single_marginal,spike,117,39,32,32,7,46,0.5,0.8205128205128205,0.6213592233009708,0.41025641025641024,0.6118516812653153,0.6410256410256411,39,0.41025641025641024,78,,1.0,1.0
46,single_marginal,bias,117,39,37,18,2,60,0.6727272727272727,0.9487179487179487,0.7872340425531915,0.23076923076923078,0.9231885098166898,1.0,39,0.23076923076923078,78,,1.0,1.0
46,single_marginal,drift,114,38,38,33,0,43,0.5352112676056338,1.0,0.6972477064220184,0.4342105263157895,0.9895572263993315,1.0,38,0.4342105263157895,76,,1.0,1.0
46,single_marginal,random_replacement,114,38,18,34,20,42,0.34615384615384615,0.47368421052631576,0.4,0.4473684210526316,0.35495930614185783,0.47368421052631576,38,0.4473684210526316,76,,1.0,1.0
46,pooled_marginal,spike,117,39,23,1,16,77,0.9583333333333334,0.5897435897435898,0.7301587301587301,0.01282051282051282,0.8632129167397286,0.7692307692307693,39,0.01282051282051282,78,,1.0,1.0
46,pooled_marginal,bias,117,39,15,1,24,77,0.9375,0.38461538461538464,0.5454545454545454,0.01282051282051282,0.7848156180990646,0.6410256410256411,39,0.01282051282051282,78,,1.0,1.0
46,pooled_marginal,drift,114,38,7,3,31,73,0.7,0.18421052631578946,0.2916666666666667,0.039473684210526314,0.5924626496324678,0.5,38,0.039473684210526314,76,,1.0,1.0
46,pooled_marginal,random_replacement,114,38,0,1,38,75,0.0,0.0,0.0,0.013157894736842105,0.33341799210630524,0.39473684210526316,38,0.013157894736842105,76,,1.0,1.0
46,regime_marginal,spike,117,39,32,1,7,77,0.9696969696969697,0.8205128205128205,0.8888888888888888,0.01282051282051282,0.9578008361374527,0.9230769230769231,39,0.01282051282051282,78,,1.0,1.0
46,regime_marginal,bias,117,39,37,1,2,77,0.9736842105263158,0.9487179487179487,0.961038961038961,0.01282051282051282,0.9963327370304116,1.0,39,0.01282051282051282,78,,1.0,1.0
46,regime_marginal,drift,114,38,28,1,10,75,0.9655172413793104,0.7368421052631579,0.835820895522388,0.013157894736842105,0.9076642335676033,0.8421052631578947,38,0.013157894736842105,76,,1.0,1.0
46,regime_marginal,random_replacement,114,38,14,2,24,74,0.875,0.3684210526315789,0.5185185185185185,0.02631578947368421,0.6844150119046685,0.6578947368421053,38,0.02631578947368421,76,,1.0,1.0
46,pooled_conditional,spike,117,39,30,20,9,58,0.6,0.7692307692307693,0.6741573033707865,0.2564102564102564,0.7058592002710743,0.8717948717948718,39,0.2564102564102564,78,,1.0,1.0
46,pooled_conditional,bias,117,39,28,27,11,51,0.509090909090909,0.717948717948718,0.5957446808510638,0.34615384615384615,0.6836719388936952,0.6666666666666666,39,0.34615384615384615,78,,1.0,1.0
46,pooled_conditional,drift,114,38,6,5,32,71,0.5454545454545454,0.15789473684210525,0.24489795918367346,0.06578947368421052,0.4971253896766413,0.4473684210526316,38,0.06578947368421052,76,,1.0,1.0
46,pooled_conditional,random_replacement,114,38,10,9,28,67,0.5263157894736842,0.2631578947368421,0.3508771929824561,0.11842105263157894,0.46110002072157164,0.47368421052631576,38,0.11842105263157894,76,,1.0,1.0
46,regime_conditional,spike,117,39,34,35,5,43,0.4927536231884058,0.8717948717948718,0.6296296296296297,0.44871794871794873,0.7413192660906239,0.9230769230769231,39,0.44871794871794873,78,,1.0,1.0
46,regime_conditional,bias,117,39,38,33,1,45,0.5352112676056338,0.9743589743589743,0.6909090909090909,0.4230769230769231,0.9443288666968529,1.0,39,0.4230769230769231,78,,1.0,1.0
46,regime_conditional,drift,114,38,31,18,7,58,0.6326530612244898,0.8157894736842105,0.7126436781609196,0.23684210526315788,0.7814998855373297,0.868421052631579,38,0.23684210526315788,76,,1.0,1.0
46,regime_conditional,random_replacement,114,38,17,15,21,61,0.53125,0.4473684210526316,0.4857142857142857,0.19736842105263158,0.5344114074524037,0.6578947368421053,38,0.19736842105263158,76,,1.0,1.0
