seed,scenario,method,view,regime,window,n_rows,state_mismatch_rate,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate
42,steady_m2_r10_k1,single_marginal,clean,all,all,2160,0.0,6480,0,0,2855,0,3625,0.0,,0.0,0.44058641975308643,,,0,,0,0.6768518518518518,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,clean,all,stable,2160,0.0,6480,0,0,2855,0,3625,0.0,,0.0,0.44058641975308643,,,0,,0,0.6768518518518518,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,clean,warehouse,all,720,0.0,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,clean,warehouse,stable,720,0.0,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,clean,transit_smooth,all,720,0.0,2160,0,0,1288,0,872,0.0,,0.0,0.5962962962962963,,,0,,0,1.0,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,clean,transit_smooth,stable,720,0.0,2160,0,0,1288,0,872,0.0,,0.0,0.5962962962962963,,,0,,0,1.0,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,clean,transit_rough,all,720,0.0,2160,0,0,1544,0,616,0.0,,0.0,0.7148148148148148,,,0,,0,1.0,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,clean,transit_rough,stable,720,0.0,2160,0,0,1544,0,616,0.0,,0.0,0.7148148148148148,,,0,,0,1.0,1.0,1.0,,,
42,steady_m2_r10_k1,single_marginal,observed,all,all,2160,0.0,6480,216,109,2755,107,3509,0.03805865921787709,0.5046296296296297,0.07077922077922078,0.4398148148148148,0.03487174742000687,0.49074074074074076,216,0.4236111111111111,432,0.6779835390946503,1.0,1.0,0.3333333333333333,0.5046296296296297,0.125
42,steady_m2_r10_k1,single_marginal,observed,all,stable,2160,0.0,6480,216,109,2755,107,3509,0.03805865921787709,0.5046296296296297,0.07077922077922078,0.4398148148148148,0.03487174742000687,0.49074074074074076,216,0.4236111111111111,432,0.6779835390946503,1.0,1.0,0.3333333333333333,0.5046296296296297,0.125
