seed,method,view,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,scenario,compare_to
42,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
42,single_marginal,observed,-0.00817732968042717,-0.06018518518518523,-0.004386263567228196,-0.0032046380947800546,0.0,0.0,-0.125,0.0,-0.06018518518518523,-0.09259259259259259,0.0,steady_m05,steady_m2_r10_k1
42,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
42,pooled_marginal,observed,-0.08013033372073716,-0.06018518518518518,-0.11847434743474348,-0.07148617504194991,0.0,0.0,-0.22222222222222224,0.0,-0.06018518518518518,-0.05555555555555556,0.0,steady_m05,steady_m2_r10_k1
42,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
42,regime_marginal,observed,-0.36805335026992697,-0.28240740740740744,-0.5190605854322669,-0.34638272265970843,0.0,0.0,-0.4305555555555556,0.0,-0.28240740740740744,-0.28240740740740744,0.0,steady_m05,steady_m2_r10_k1
42,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
42,pooled_conditional,observed,-0.2546462063086104,-0.20833333333333334,-0.3084163898117387,-0.18192943101799103,-0.004469987228607919,-0.06481481481481483,-0.28703703703703703,0.0,-0.20833333333333334,-0.07870370370370369,0.0,steady_m05,steady_m2_r10_k1
42,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
42,regime_conditional,observed,-0.4150989324338422,-0.375,-0.45753228120516504,-0.3770624325481934,-0.0011174968071519797,-0.016203703703703703,-0.4027777777777778,0.0,-0.375,-0.33796296296296297,0.0,steady_m05,steady_m2_r10_k1
43,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
43,single_marginal,observed,-0.011694449811636587,-0.08796296296296297,-0.006263213683060764,-0.004634009857670946,0.0,0.0,-0.09722222222222224,0.0,-0.08796296296296297,-0.037037037037037035,0.0,steady_m05,steady_m2_r10_k1
43,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
43,pooled_marginal,observed,-0.12074149077030923,-0.1064814814814815,-0.13794983642311887,-0.09534364357318452,0.0,0.0,-0.12037037037037035,0.0,-0.1064814814814815,-0.09722222222222221,0.0,steady_m05,steady_m2_r10_k1
43,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
43,regime_marginal,observed,-0.273315649867374,-0.24074074074074076,-0.3140919710524816,-0.21949026686926237,0.0,0.0,-0.39351851851851855,0.0,-0.24074074074074076,-0.2361111111111111,0.0,steady_m05,steady_m2_r10_k1
43,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
43,pooled_conditional,observed,-0.2699947451392538,-0.22222222222222224,-0.3229465449804433,-0.2341963986980015,-0.0036717752234993618,-0.05324074074074074,-0.20833333333333337,0.0,-0.22222222222222224,-0.125,0.0,steady_m05,steady_m2_r10_k1
43,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
43,regime_conditional,observed,-0.3672810729398264,-0.3333333333333333,-0.39093214965123657,-0.3753881912254608,-0.0028735632183908046,-0.04166666666666667,-0.462962962962963,0.0,-0.3333333333333333,-0.2546296296296296,0.0,steady_m05,steady_m2_r10_k1
44,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
44,single_marginal,observed,-0.021060612789353804,-0.1527777777777778,-0.011308982387411667,-0.005574128548305607,0.0,0.0,-0.1018518518518518,0.0,-0.1527777777777778,-0.04166666666666667,0.0,steady_m05,steady_m2_r10_k1
44,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
44,pooled_marginal,observed,-0.1744381080174438,-0.12037037037037038,-0.3151515151515151,-0.0984699680769466,0.0,0.0,-0.26388888888888895,0.0,-0.12037037037037038,-0.12037037037037038,0.0,steady_m05,steady_m2_r10_k1
44,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
44,regime_marginal,observed,-0.27137745974955274,-0.18981481481481483,-0.47139037433155084,-0.22535553593399094,0.0,0.0,-0.3425925925925926,0.0,-0.18981481481481483,-0.18981481481481483,0.0,steady_m05,steady_m2_r10_k1
44,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
44,pooled_conditional,observed,-0.23545454545454544,-0.17592592592592593,-0.35071707953063885,-0.1790347405373352,-0.0011174968071519797,-0.016203703703703703,-0.26851851851851855,0.0,-0.17592592592592593,-0.1527777777777778,0.0,steady_m05,steady_m2_r10_k1
44,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
44,regime_conditional,observed,-0.4106555959176613,-0.3564814814814815,-0.46880570409982175,-0.37265753488729325,-0.0015964240102171127,-0.023148148148148147,-0.3888888888888889,0.0,-0.3564814814814815,-0.3101851851851852,0.0,steady_m05,steady_m2_r10_k1
45,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
45,single_marginal,observed,-0.029650780564450675,-0.21296296296296297,-0.015932990441944718,-0.015685048847305712,0.0,0.0,-0.1388888888888889,0.0,-0.21296296296296297,-0.1111111111111111,0.0,steady_m05,steady_m2_r10_k1
45,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
45,pooled_marginal,observed,-0.18892315647565053,-0.15277777777777776,-0.24599524187153055,-0.1071401739503747,0.0,0.0,-0.21759259259259262,0.0,-0.15277777777777776,-0.14814814814814814,0.0,steady_m05,steady_m2_r10_k1
45,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
45,regime_marginal,observed,-0.3378503167615161,-0.2638888888888889,-0.4635402548116021,-0.3050688508394954,0.0,0.0,-0.4212962962962963,0.0,-0.2638888888888889,-0.2592592592592593,0.0,steady_m05,steady_m2_r10_k1
45,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
45,pooled_conditional,observed,-0.24573671942092992,-0.19907407407407407,-0.30952380952380953,-0.20784728699080357,-0.0020753512132822474,-0.03009259259259259,-0.20833333333333326,0.0,-0.19907407407407407,-0.14351851851851852,0.0,steady_m05,steady_m2_r10_k1
45,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
45,regime_conditional,observed,-0.43455988455988454,-0.3935185185185185,-0.4710716633793557,-0.43749410476153505,-0.001915708812260537,-0.027777777777777776,-0.44907407407407407,0.0,-0.3935185185185185,-0.33796296296296297,0.0,steady_m05,steady_m2_r10_k1
46,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
46,single_marginal,observed,-0.018510958473052147,-0.1388888888888889,-0.009915199172584745,-0.013642655602735684,0.0,0.0,-0.09722222222222221,0.0,-0.1388888888888889,-0.06018518518518518,0.0,steady_m05,steady_m2_r10_k1
46,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
46,pooled_marginal,observed,-0.10684989879620752,-0.07870370370370369,-0.16543483616654348,-0.06679426963812293,0.0,0.0,-0.19907407407407407,0.0,-0.07870370370370369,-0.08333333333333333,0.0,steady_m05,steady_m2_r10_k1
46,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
46,regime_marginal,observed,-0.2820623104494072,-0.21296296296296297,-0.41531964467744287,-0.2686673570251979,0.0,0.0,-0.3611111111111111,0.0,-0.21296296296296297,-0.20833333333333334,0.0,steady_m05,steady_m2_r10_k1
46,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
46,pooled_conditional,observed,-0.2525280898876405,-0.1898148148148148,-0.36425339366515835,-0.20712868728102946,-0.001915708812260536,-0.027777777777777776,-0.2731481481481482,0.0,-0.1898148148148148,-0.13425925925925927,0.0,steady_m05,steady_m2_r10_k1
46,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m05,steady_m2_r10_k1
46,regime_conditional,observed,-0.3951486697965571,-0.34722222222222227,-0.43300653594771243,-0.38168909451187083,-0.0015964240102171144,-0.023148148148148147,-0.39814814814814814,0.0,-0.34722222222222227,-0.3148148148148148,0.0,steady_m05,steady_m2_r10_k1
42,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
42,single_marginal,observed,-0.008809227302377987,-0.06481481481481483,-0.00472532588454376,-0.002536073804161945,0.0,0.0,-0.07870370370370372,0.0,-0.06481481481481483,-0.08333333333333334,0.0,steady_m1,steady_m2_r10_k1
42,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
42,pooled_marginal,observed,-0.06735943588791983,-0.05092592592592592,-0.09801980198019802,-0.056466206496106036,0.0,0.0,-0.17592592592592593,0.0,-0.05092592592592592,-0.0462962962962963,0.0,steady_m1,steady_m2_r10_k1
42,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
42,regime_marginal,observed,-0.30355634073277515,-0.24074074074074076,-0.3771942550413463,-0.30763183251508597,0.0,0.0,-0.2592592592592593,0.0,-0.24074074074074076,-0.24074074074074076,0.0,steady_m1,steady_m2_r10_k1
42,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
42,pooled_conditional,observed,-0.18649699540473666,-0.16203703703703703,-0.1826618626487608,-0.14956447244252297,-0.0036717752234993618,-0.05324074074074074,-0.22685185185185186,0.0,-0.16203703703703703,-0.05092592592592592,0.0,steady_m1,steady_m2_r10_k1
42,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
42,regime_conditional,observed,-0.3387701381137231,-0.3194444444444444,-0.3362229102167183,-0.33091787227978464,-0.0009578544061302676,-0.013888888888888888,-0.27314814814814814,0.0,-0.3194444444444444,-0.28703703703703703,0.0,steady_m1,steady_m2_r10_k1
