seed,method,alpha,regime,channel,threshold,n_calibration_cells,calibration_fpr
42,regime_marginal,1.0,transit_rough,0,2.7330891369699173,720,0.011111111111111112
42,regime_marginal,1.0,transit_rough,1,2.6183840795530764,720,0.011111111111111112
42,regime_marginal,1.0,transit_rough,2,2.6685426590350385,720,0.011111111111111112
42,regime_marginal,1.0,transit_smooth,0,2.6383989159981285,720,0.011111111111111112
42,regime_marginal,1.0,transit_smooth,1,2.745166363148809,720,0.011111111111111112
42,regime_marginal,1.0,transit_smooth,2,2.3983646483506993,720,0.011111111111111112
42,regime_marginal,1.0,warehouse,0,2.444875502779248,720,0.011111111111111112
42,regime_marginal,1.0,warehouse,1,2.676720776248441,720,0.011111111111111112
42,regime_marginal,1.0,warehouse,2,2.22838548508122,720,0.011111111111111112
42,regime_marginal,0.2,transit_rough,0,1.7946240205079884,720,0.011111111111111112
42,regime_marginal,0.2,transit_rough,1,1.4334447493125462,720,0.011111111111111112
42,regime_marginal,0.2,transit_rough,2,1.3418602578482695,720,0.011111111111111112
42,regime_marginal,0.2,transit_smooth,0,1.6515943476405277,720,0.011111111111111112
42,regime_marginal,0.2,transit_smooth,1,1.3167229163620182,720,0.011111111111111112
42,regime_marginal,0.2,transit_smooth,2,1.3683927439197747,720,0.011111111111111112
42,regime_marginal,0.2,warehouse,0,1.490647989628508,720,0.011111111111111112
42,regime_marginal,0.2,warehouse,1,1.1949385861936999,720,0.011111111111111112
42,regime_marginal,0.2,warehouse,2,0.8360990010089345,720,0.011111111111111112
42,regime_conditional,1.0,transit_rough,0,2.5249567343606074,720,0.011111111111111112
42,regime_conditional,1.0,transit_rough,1,2.467986797702909,720,0.011111111111111112
42,regime_conditional,1.0,transit_rough,2,2.5202907253005766,720,0.011111111111111112
42,regime_conditional,1.0,transit_smooth,0,2.438194255845313,720,0.011111111111111112
42,regime_conditional,1.0,transit_smooth,1,2.683737790976065,720,0.011111111111111112
42,regime_conditional,1.0,transit_smooth,2,2.5920862436563126,720,0.011111111111111112
42,regime_conditional,1.0,warehouse,0,2.297153657535861,720,0.011111111111111112
42,regime_conditional,1.0,warehouse,1,2.578664619364803,720,0.011111111111111112
42,regime_conditional,1.0,warehouse,2,2.1890338158751113,720,0.011111111111111112
42,regime_conditional,0.2,transit_rough,0,1.2527698285518845,720,0.011111111111111112
42,regime_conditional,0.2,transit_rough,1,0.8970532194803071,720,0.011111111111111112
42,regime_conditional,0.2,transit_rough,2,0.8814946973266695,720,0.011111111111111112
42,regime_conditional,0.2,transit_smooth,0,1.1761791376580455,720,0.011111111111111112
42,regime_conditional,0.2,transit_smooth,1,0.860399242674857,720,0.011111111111111112
