seed,scenario,method,alpha,view,regime,window,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,post_event_cells,post_event_fpr,false_onsets_per_1000_clean_cells
42,steady_m05,regime_marginal,1.0,clean,all,all,6480,0,0,50,0,6430,0.0,,0.0,0.007716049382716049,,,0,,0,0.022685185185185187,1.0,1.0,,,,270,0.011111111111111112,7.407407407407407
42,steady_m05,regime_marginal,1.0,clean,all,stable,6480,0,0,50,0,6430,0.0,,0.0,0.007716049382716049,,,0,,0,0.022685185185185187,1.0,1.0,,,,270,0.011111111111111112,7.407407407407407
42,steady_m05,regime_marginal,1.0,clean,warehouse,all,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,,96,0.020833333333333332,9.722222222222221
42,steady_m05,regime_marginal,1.0,clean,warehouse,stable,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,,96,0.020833333333333332,9.722222222222221
42,steady_m05,regime_marginal,1.0,clean,transit_smooth,all,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,,84,0.0,6.944444444444445
42,steady_m05,regime_marginal,1.0,clean,transit_smooth,stable,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,,84,0.0,6.944444444444445
42,steady_m05,regime_marginal,1.0,clean,transit_rough,all,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,90,0.011111111111111112,5.555555555555555
42,steady_m05,regime_marginal,1.0,clean,transit_rough,stable,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,90,0.011111111111111112,5.555555555555555
42,steady_m05,regime_marginal,1.0,observed,all,all,6480,216,2,50,214,6214,0.038461538461538464,0.009259259259259259,0.014925373134328358,0.007982120051085569,0.039848309532607575,0.39814814814814814,216,0.0,432,0.025205761316872428,1.0,1.0,0.3333333333333333,0.009259259259259259,0.009259259259259259,270,0.011111111111111112,7.662835249042145
42,steady_m05,regime_marginal,1.0,observed,all,stable,6480,216,2,50,214,6214,0.038461538461538464,0.009259259259259259,0.014925373134328358,0.007982120051085569,0.039848309532607575,0.39814814814814814,216,0.0,432,0.025205761316872428,1.0,1.0,0.3333333333333333,0.009259259259259259,0.009259259259259259,270,0.011111111111111112,7.662835249042145
