seed,scenario,method,temporal,view,event_index,sequence_index,channel,start,end_exclusive,duration,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable
42,steady_m05,regime_marginal,sma,clean,0,0,2,48,60,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,1,0,1,0,6,6,False,False,False,,6,0.0,True
42,steady_m05,regime_marginal,sma,clean,2,1,0,48,60,12,True,False,True,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,3,1,2,108,114,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,4,2,1,108,120,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,5,2,1,72,78,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,6,3,1,96,108,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,7,3,2,36,42,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,8,4,2,24,36,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,9,4,2,36,42,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,10,5,2,120,132,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,11,5,0,84,90,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,12,6,1,108,120,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,13,6,2,84,90,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,14,7,1,0,12,12,False,False,False,,12,0.3333333333333333,False
42,steady_m05,regime_marginal,sma,clean,15,7,2,12,18,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,16,8,0,108,120,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,17,8,0,96,102,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,18,9,0,24,36,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,19,9,2,120,126,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,20,10,1,60,72,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,21,10,1,84,90,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,sma,clean,22,11,0,84,96,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,sma,clean,23,11,0,144,150,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,0,0,2,48,60,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,1,0,1,0,6,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,2,1,0,48,60,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,3,1,2,108,114,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,4,2,1,108,120,12,False,False,True,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,5,2,1,72,78,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,6,3,1,96,108,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,7,3,2,36,42,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,8,4,2,24,36,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,9,4,2,36,42,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,10,5,2,120,132,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,11,5,0,84,90,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,12,6,1,108,120,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,13,6,2,84,90,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,14,7,1,0,12,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,15,7,2,12,18,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,16,8,0,108,120,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,17,8,0,96,102,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,18,9,0,24,36,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,19,9,2,120,126,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,20,10,1,60,72,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,21,10,1,84,90,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,point,clean,22,11,0,84,96,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,point,clean,23,11,0,144,150,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,ewma,clean,0,0,2,48,60,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,ewma,clean,1,0,1,0,6,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,ewma,clean,2,1,0,48,60,12,True,False,True,,12,1.0,False
42,steady_m05,regime_marginal,ewma,clean,3,1,2,108,114,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,ewma,clean,4,2,1,108,120,12,False,False,True,,12,1.0,False
42,steady_m05,regime_marginal,ewma,clean,5,2,1,72,78,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,ewma,clean,6,3,1,96,108,12,False,False,False,,12,1.0,False
42,steady_m05,regime_marginal,ewma,clean,7,3,2,36,42,6,False,False,False,,6,1.0,False
42,steady_m05,regime_marginal,ewma,clean,8,4,2,24,36,12,False,False,False,,12,1.0,False
