scenario,method,view,regime,window,support,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
steady_k2,regime_conditional,clean,all,all,common,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0005490956072351421,0.0011623420035818213,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.003786671935329962,0.0013949059207600237,5,-1.8410852713178294,0.4053585399874396,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,all,all,common,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.000516795865633075,0.003938383665941256,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.005086216989563986,0.012506304157309536,5,-5.4909560723514215,1.2031382772732027,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,all,all,own,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.00023399368360608707,0.0011152679664846676,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.0036990265702170283,0.0014021575425504829,5,-1.67815101923629,0.45460107599278227,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,all,all,own,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0005067470571346541,0.003969591990746981,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.004992816062269417,0.01245991392404211,5,-5.505311513063451,1.0803870011981895,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,all,stable,common,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0005490956072351421,0.0011623420035818213,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.003786671935329962,0.0013949059207600237,5,-1.8410852713178294,0.4053585399874396,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,all,stable,common,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.000516795865633075,0.003938383665941256,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.005086216989563986,0.012506304157309536,5,-5.4909560723514215,1.2031382772732027,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,all,stable,own,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.00023399368360608707,0.0011152679664846676,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.0036990265702170283,0.0014021575425504829,5,-1.67815101923629,0.45460107599278227,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,all,stable,own,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0005067470571346541,0.003969591990746981,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.004992816062269417,0.01245991392404211,5,-5.505311513063451,1.0803870011981895,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_rough,all,common,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0002906976744186045,0.003915136405200953,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.007160493827160494,0.010186120420960095,5,-2.6162790697674416,1.5167127754359038,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_rough,all,common,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0015503875968992244,0.006512824617793211,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.00802469135802469,0.00761038765798639,5,-5.620155038759689,1.6642988408253554,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
