scenario,method,temporal,view,regime,window,support,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
steady_k2,regime_conditional,ewma,clean,all,all,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.011950904392764857,0.004203622443417432,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013862844622197657,0.005582340328122443,5,7.138242894056847,0.9305465304191173,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,all,all,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.011635802469135804,0.00417038014676251,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013775199257084725,0.005532274420698056,5,6.9753086419753085,0.9905436133260007,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,all,stable,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.011950904392764857,0.004203622443417432,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013862844622197657,0.005582340328122443,5,7.138242894056847,0.9305465304191173,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,all,stable,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.011635802469135804,0.00417038014676251,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013775199257084725,0.005532274420698056,5,6.9753086419753085,0.9905436133260007,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,transit_rough,all,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012403100775193798,0.0034018390855701463,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013847001763668428,0.00724289561657601,5,7.461240310077519,1.3531240352489282,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,transit_rough,all,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012129629629629629,0.003781021664647299,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013847001763668428,0.00724289561657601,5,7.314814814814815,1.2422599874998836,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,transit_rough,stable,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012403100775193798,0.0034018390855701463,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013847001763668428,0.00724289561657601,5,7.461240310077519,1.3531240352489282,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,transit_rough,stable,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012129629629629629,0.003781021664647299,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013847001763668428,0.00724289561657601,5,7.314814814814815,1.2422599874998836,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,transit_smooth,all,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008914728682170543,0.005738774271254277,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.005751002210482935,0.0056822921576738065,5,5.329457364341085,1.0277714842827725,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,ewma,clean,transit_smooth,all,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008796296296296297,0.005819354208322469,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.005721966205837174,0.005680449181904945,5,5.277777777777778,1.0658207808538276,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
