seed,scenario,sequence_index,sequence_id,slot,start,end_exclusive,channels,signs,duration,magnitude_std,offset_from_nearest_transition,scale_source,split,corruption_type
42,steady_d12_n2_m1,0,valf_20260921_42_warehouse_000,0,116,128,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,0,valf_20260921_42_warehouse_000,1,1,13,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,1,valf_20260921_42_warehouse_001,0,0,12,[1],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,1,valf_20260921_42_warehouse_001,1,63,75,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,2,valf_20260921_42_warehouse_002,0,104,116,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,2,valf_20260921_42_warehouse_002,1,8,20,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,3,valf_20260921_42_warehouse_003,0,142,154,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,3,valf_20260921_42_warehouse_003,1,88,100,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,4,valf_20260921_42_transit_smooth_000,0,101,113,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,4,valf_20260921_42_transit_smooth_000,1,39,51,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,5,valf_20260921_42_transit_smooth_001,0,70,82,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,5,valf_20260921_42_transit_smooth_001,1,128,140,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,6,valf_20260921_42_transit_smooth_002,0,75,87,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,6,valf_20260921_42_transit_smooth_002,1,5,17,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,7,valf_20260921_42_transit_smooth_003,0,140,152,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,7,valf_20260921_42_transit_smooth_003,1,9,21,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,8,valf_20260921_42_transit_rough_000,0,12,24,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,8,valf_20260921_42_transit_rough_000,1,55,67,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,9,valf_20260921_42_transit_rough_001,0,128,140,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,9,valf_20260921_42_transit_rough_001,1,74,86,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,10,valf_20260921_42_transit_rough_002,0,120,132,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,10,valf_20260921_42_transit_rough_002,1,14,26,[1],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,11,valf_20260921_42_transit_rough_003,0,1,13,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,steady_d12_n2_m1,11,valf_20260921_42_transit_rough_003,1,74,86,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,0,valf_20260921_42_warehouse_000,0,116,120,[0],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,0,valf_20260921_42_warehouse_000,1,1,5,[2],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,1,valf_20260921_42_warehouse_001,0,0,4,[1],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,1,valf_20260921_42_warehouse_001,1,63,67,[2],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,2,valf_20260921_42_warehouse_002,0,104,108,[0],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,2,valf_20260921_42_warehouse_002,1,8,12,[1],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,3,valf_20260921_42_warehouse_003,0,142,146,[2],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,3,valf_20260921_42_warehouse_003,1,88,92,[2],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,4,valf_20260921_42_transit_smooth_000,0,101,105,[0],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,4,valf_20260921_42_transit_smooth_000,1,39,43,[1],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,5,valf_20260921_42_transit_smooth_001,0,70,74,[2],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,5,valf_20260921_42_transit_smooth_001,1,128,132,[2],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,6,valf_20260921_42_transit_smooth_002,0,75,79,[0],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,6,valf_20260921_42_transit_smooth_002,1,5,9,[1],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,7,valf_20260921_42_transit_smooth_003,0,140,144,[1],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,7,valf_20260921_42_transit_smooth_003,1,9,13,[0],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,8,valf_20260921_42_transit_rough_000,0,12,16,[2],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,8,valf_20260921_42_transit_rough_000,1,55,59,[0],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,9,valf_20260921_42_transit_rough_001,0,128,132,[2],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,9,valf_20260921_42_transit_rough_001,1,74,78,[0],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,10,valf_20260921_42_transit_rough_002,0,120,124,[2],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,10,valf_20260921_42_transit_rough_002,1,14,18,[1],[-1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,11,valf_20260921_42_transit_rough_003,0,1,5,[1],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration4,11,valf_20260921_42_transit_rough_003,1,74,78,[0],[1.0],4,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,0,valf_20260921_42_warehouse_000,0,116,140,[0],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,0,valf_20260921_42_warehouse_000,1,1,25,[2],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
