seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,count1,regime_conditional,clean,all,all,0.0,,0.0,,-0.0038580246913580245,,,,,,0.0,-0.013888888888888888,-9.41358024691358,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,clean,all,stable,0.0,,0.0,,-0.0038580246913580245,,,,,,0.0,-0.013888888888888888,-9.41358024691358,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,clean,transit_rough,all,0.0,,0.0,,-0.009259259259259259,,,,,,0.0,-0.020833333333333332,-9.259259259259258,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,clean,transit_rough,stable,0.0,,0.0,,-0.009259259259259259,,,,,,0.0,-0.020833333333333332,-9.259259259259258,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,clean,transit_smooth,all,0.0,,0.0,,0.0023148148148148147,,,,,,0.0,0.0,-5.092592592592593,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,clean,transit_smooth,stable,0.0,,0.0,,0.0023148148148148147,,,,,,0.0,0.0,-5.092592592592593,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,clean,warehouse,all,0.0,,0.0,,-0.004629629629629628,,,,,,0.0,-0.020833333333333332,-13.88888888888889,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,clean,warehouse,stable,0.0,,0.0,,-0.004629629629629628,,,,,,0.0,-0.020833333333333332,-13.88888888888889,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_conditional,observed,all,all,0.1242825552215072,0.1736111111111111,0.07607162235485622,0.09494421652128539,0.010732323232323232,0.013888888888888888,0.09027777777777779,0.0,0.1736111111111111,0.18055555555555555,0.0,0.3888888888888889,-9.154040404040405,0.0,0.0,0.1736111111111111,0.1242825552215072,0.0,cusum_minus_point
42,count1,regime_conditional,observed,all,stable,0.1242825552215072,0.1736111111111111,0.07607162235485622,0.09494421652128539,0.010732323232323232,0.013888888888888888,0.09027777777777779,0.0,0.1736111111111111,0.18055555555555555,0.0,0.3888888888888889,-9.154040404040405,0.0,0.0,0.1736111111111111,0.1242825552215072,0.0,cusum_minus_point
42,count1,regime_conditional,observed,transit_rough,all,0.36507936507936506,0.43750000000000006,0.27192982456140347,0.2489010277437827,0.005681818181818182,0.0,0.29166666666666674,0.0,0.43750000000000006,0.43750000000000006,0.0,0.45833333333333337,-8.996212121212121,0.0,0.0,0.43750000000000006,0.36507936507936506,0.0,cusum_minus_point
42,count1,regime_conditional,observed,transit_rough,stable,0.36507936507936506,0.43750000000000006,0.27192982456140347,0.2489010277437827,0.005681818181818182,0.0,0.29166666666666674,0.0,0.43750000000000006,0.43750000000000006,0.0,0.45833333333333337,-8.996212121212121,0.0,0.0,0.43750000000000006,0.36507936507936506,0.0,cusum_minus_point
42,count1,regime_conditional,observed,transit_smooth,all,0.06187308626333016,0.10416666666666669,0.024367816091954028,0.02670672599668219,0.019412878787878785,0.010416666666666666,-0.04166666666666663,0.0,0.10416666666666669,0.10416666666666669,0.0,0.4791666666666667,-4.734848484848485,0.0,0.0,0.10416666666666669,0.06187308626333016,0.0,cusum_minus_point
42,count1,regime_conditional,observed,transit_smooth,stable,0.06187308626333016,0.10416666666666669,0.024367816091954028,0.02670672599668219,0.019412878787878785,0.010416666666666666,-0.04166666666666663,0.0,0.10416666666666669,0.10416666666666669,0.0,0.4791666666666667,-4.734848484848485,0.0,0.0,0.10416666666666669,0.06187308626333016,0.0,cusum_minus_point
42,count1,regime_conditional,observed,warehouse,all,-0.033223954060705496,-0.020833333333333343,-0.04467084639498432,0.0336556054456067,0.007102272727272728,0.03125,0.020833333333333315,0.0,-0.020833333333333343,0.0,0.0,0.22916666666666666,-13.731060606060606,0.0,0.0,-0.020833333333333343,-0.033223954060705496,0.0,cusum_minus_point
42,count1,regime_conditional,observed,warehouse,stable,-0.033223954060705496,-0.020833333333333343,-0.04467084639498432,0.0336556054456067,0.007102272727272728,0.03125,0.020833333333333315,0.0,-0.020833333333333343,0.0,0.0,0.22916666666666666,-13.731060606060606,0.0,0.0,-0.020833333333333343,-0.033223954060705496,0.0,cusum_minus_point
42,count1,regime_marginal,clean,all,all,0.0,,0.0,,0.012654320987654321,,,,,,0.0,0.0,-6.3271604938271615,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_marginal,clean,all,stable,0.0,,0.0,,0.012654320987654321,,,,,,0.0,0.0,-6.3271604938271615,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_marginal,clean,transit_rough,all,,,,,-0.006481481481481481,,,,,,0.0,0.0,-6.481481481481482,0.0,0.0,,,,cusum_minus_point
42,count1,regime_marginal,clean,transit_rough,stable,,,,,-0.006481481481481481,,,,,,0.0,0.0,-6.481481481481482,0.0,0.0,,,,cusum_minus_point
42,count1,regime_marginal,clean,transit_smooth,all,0.0,,0.0,,-0.005092592592592593,,,,,,0.0,0.0,-8.796296296296296,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_marginal,clean,transit_smooth,stable,0.0,,0.0,,-0.005092592592592593,,,,,,0.0,0.0,-8.796296296296296,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_marginal,clean,warehouse,all,0.0,,0.0,,0.04953703703703703,,,,,,0.0,0.0,-3.703703703703704,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_marginal,clean,warehouse,stable,0.0,,0.0,,0.04953703703703703,,,,,,0.0,0.0,-3.703703703703704,0.0,0.0,,0.0,,cusum_minus_point
42,count1,regime_marginal,observed,all,all,-0.010941317116274232,0.020833333333333336,-0.05727907601396723,-0.010337617922108383,0.02335858585858586,0.024305555555555556,-0.02777777777777779,0.0,0.020833333333333336,0.020833333333333336,0.0,0.10416666666666667,-6.313131313131312,0.0,0.0,0.020833333333333336,-0.010941317116274232,0.0,cusum_minus_point
42,count1,regime_marginal,observed,all,stable,-0.010941317116274232,0.020833333333333336,-0.05727907601396723,-0.010337617922108383,0.02335858585858586,0.024305555555555556,-0.02777777777777779,0.0,0.020833333333333336,0.020833333333333336,0.0,0.10416666666666667,-6.313131313131312,0.0,0.0,0.020833333333333336,-0.010941317116274232,0.0,cusum_minus_point
42,count1,regime_marginal,observed,transit_rough,all,0.14498044328552803,0.08333333333333334,0.4598930481283422,0.20536601119539033,-0.004734848484848485,0.0,0.27083333333333337,0.0,0.08333333333333334,0.08333333333333334,0.0,0.08333333333333333,-6.628787878787879,0.0,0.0,0.08333333333333334,0.14498044328552803,0.0,cusum_minus_point
42,count1,regime_marginal,observed,transit_rough,stable,0.14498044328552803,0.08333333333333334,0.4598930481283422,0.20536601119539033,-0.004734848484848485,0.0,0.27083333333333337,0.0,0.08333333333333334,0.08333333333333334,0.0,0.08333333333333333,-6.628787878787879,0.0,0.0,0.08333333333333334,0.14498044328552803,0.0,cusum_minus_point
42,count1,regime_marginal,observed,transit_smooth,all,-0.05555555555555555,-0.041666666666666664,-0.08333333333333333,-0.02869156466132801,-0.005208333333333333,0.0625,-0.41666666666666663,0.0,-0.041666666666666664,-0.041666666666666664,0.0,0.0,-8.996212121212121,0.0,0.0,-0.041666666666666664,-0.05555555555555555,0.0,cusum_minus_point
