scenario,method,view,regime,window,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
count1,regime_conditional,clean,all,all,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008179012345679013,0.010415809292562028,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0027777777777777783,0.014400306495366473,5,-2.1296296296296298,1.6163235768859459,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,all,all,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008858024691358024,0.013770327286606043,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0013888888888888896,0.019885862587883826,5,-6.7592592592592595,1.7404780468977388,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,all,stable,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008179012345679013,0.010415809292562028,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0027777777777777783,0.014400306495366473,5,-2.1296296296296298,1.6163235768859459,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,all,stable,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.008858024691358024,0.013770327286606043,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0013888888888888896,0.019885862587883826,5,-6.7592592592592595,1.7404780468977388,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,transit_rough,all,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015092592592592593,0.021885958944094872,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.027163343355011037,5,-0.6481481481481485,2.9023014849365705,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,transit_rough,all,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015277777777777779,0.028832224222822573,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.01743041721945991,5,-4.907407407407407,4.362673699773979,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,transit_rough,stable,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015092592592592593,0.021885958944094872,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.027163343355011037,5,-0.6481481481481485,2.9023014849365705,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,transit_rough,stable,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015277777777777779,0.028832224222822573,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.01743041721945991,5,-4.907407407407407,4.362673699773979,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,transit_smooth,all,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0061111111111111106,0.00949017613496727,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.03333333333333334,0.06353312784157045,5,-3.2407407407407405,2.758420205512265,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,clean,transit_smooth,all,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0075,0.01679286072912427,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.0375,0.06319062870042959,5,-6.203703703703704,3.654182826050206,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
