scenario,method,view,comparison,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
count1,regime_conditional,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
count1,regime_conditional,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
count1,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,2,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
count1,regime_marginal,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
count3,regime_conditional,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
count3,regime_conditional,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
count3,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
count3,regime_marginal,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration24,regime_conditional,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration24,regime_conditional,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration24,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration24,regime_marginal,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration4,regime_conditional,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,2,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration4,regime_conditional,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration4,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,,1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
duration4,regime_marginal,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude2,regime_conditional,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude2,regime_conditional,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude2,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude2,regime_marginal,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude4,regime_conditional,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude4,regime_conditional,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude4,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
magnitude4,regime_marginal,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
steady_d12_n2_m1,regime_conditional,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
steady_d12_n2_m1,regime_conditional,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
steady_d12_n2_m1,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
steady_d12_n2_m1,regime_marginal,observed,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
switch_after6,regime_conditional,clean,carry_minus_ewma,-0.008333333333333333,0.018633899812498245,5,-0.008333333333333333,0.018633899812498245,5,0.0,0.0,5,-0.125,0.25,4,0.033333333333333215,0.07453559924999273,5,0.0,0.0,5,0.0,0.0,5,0.002777777777777768,0.006211299937499394,5
switch_after6,regime_conditional,observed,carry_minus_ewma,-2.2204460492503132e-17,0.02946278254943949,5,-2.2204460492503132e-17,0.02946278254943949,5,0.0,0.0,5,-0.10484593837535013,0.22163959940015196,5,-0.09999999999999983,0.3430864808373147,5,0.0,0.0,5,0.0,0.0,5,-0.008333333333333304,0.02859054006977622,5
switch_after6,regime_marginal,clean,carry_minus_ewma,0.008333333333333333,0.018633899812498245,5,0.008333333333333333,0.018633899812498245,5,0.008333333333333333,0.018633899812498245,5,-0.5,0.8660254037844386,3,-0.08333333333333356,0.186338998124983,5,0.0,0.0,5,0.0,0.0,5,-0.006944444444444464,0.015528249843748584,5
switch_after6,regime_marginal,observed,carry_minus_ewma,1.1102230246251566e-17,0.029462782549439473,5,-0.008333333333333326,0.03486083443891982,5,0.008333333333333333,0.018633899812498245,5,-0.059841269841269806,0.33436235724292146,5,-0.008333333333333925,0.27067302948186195,5,0.0,0.0,5,0.0,0.0,5,-0.0006944444444445308,0.022556085790155157,5
switch_at,regime_conditional,clean,carry_minus_ewma,0.03333333333333333,0.03486083443891981,5,0.025,0.03726779962499649,5,0.0,0.0,5,0.0,,1,-0.225,0.32489314482696563,5,0.0,0.0,5,0.0,0.0,5,-0.01875,0.02707442873558046,5
switch_at,regime_conditional,observed,carry_minus_ewma,-0.024999999999999977,0.03726779962499646,5,-0.024999999999999977,0.03726779962499646,5,0.0,0.0,5,-0.008404002333198513,0.5003202734000308,5,0.11666666666666643,0.560102917130216,5,0.0,0.0,5,0.0,0.0,5,0.009722222222222198,0.046675243094184686,5
switch_at,regime_marginal,clean,carry_minus_ewma,0.03333333333333333,0.018633899812498245,5,0.016666666666666666,0.02282177322938192,5,0.0,0.0,5,-3.25,2.4748737341529163,2,-0.14166666666666677,0.14312970031098068,5,0.0,0.0,5,0.0,0.0,5,-0.011805555555555559,0.011927475025915048,5
switch_at,regime_marginal,observed,carry_minus_ewma,0.025,0.06319062870042956,5,0.008333333333333349,0.05432668671002205,5,0.0,0.0,5,-0.20454545454545467,0.4231180989036451,5,-0.1,0.12004050242406586,5,0.0,0.0,5,0.0,0.0,5,-0.008333333333333304,0.010003375202005473,5
switch_before6,regime_conditional,clean,carry_minus_ewma,0.025,0.037267799624996496,5,0.025,0.037267799624996496,5,0.0,0.0,5,0.9166666666666665,1.2963624321753369,2,-0.07500000000000036,0.10374916331657322,5,0.0,0.0,5,0.0,0.0,5,-0.006250000000000022,0.008645763609714427,5
switch_before6,regime_conditional,observed,carry_minus_ewma,0.13333333333333333,0.06846531968814577,5,0.13333333333333333,0.06846531968814577,5,0.0,0.0,5,0.24289102022848166,0.6924014622776976,5,-0.7416666666666668,0.11562030771259685,5,0.0,0.0,5,0.0,0.0,5,-0.06180555555555558,0.009635025642716403,5
switch_before6,regime_marginal,clean,carry_minus_ewma,0.016666666666666666,0.02282177322938192,5,0.016666666666666666,0.02282177322938192,5,0.0,0.0,5,1.5,2.1213203435596424,2,-0.05000000000000036,0.07453559924999352,5,0.0,0.0,5,0.0,0.0,5,-0.004166666666666696,0.00621129993749945,5
switch_before6,regime_marginal,observed,carry_minus_ewma,0.11666666666666667,0.07453559924999298,5,0.11666666666666667,0.07453559924999298,5,0.0,0.0,5,0.5543939393939394,0.7643835029470444,5,-0.5166666666666668,0.23311001217832233,5,0.0,0.0,5,0.0,0.0,5,-0.04305555555555558,0.01942583434819351,5
switch_delay12,regime_conditional,clean,carry_minus_ewma,0.04166666666666666,0.05892556509887897,5,-0.008333333333333337,0.05432668671002208,5,0.06666666666666668,0.047507309379130745,5,0.0008658008658009919,0.37691568867239333,5,0.025,0.3195048252113469,5,0.0,0.0,5,0.0,0.0,5,0.002083333333333348,0.026625402100945557,5
switch_delay12,regime_conditional,observed,carry_minus_ewma,0.016666666666666653,0.0228217732293819,5,-0.08333333333333334,0.041666666666666644,5,0.06666666666666668,0.047507309379130745,5,-0.2636538315485685,0.2786986770709027,5,0.4416666666666666,0.24224069756247724,5,0.0,0.0,5,0.0,0.0,5,0.036805555555555536,0.020186724796873105,5
switch_delay12,regime_marginal,clean,carry_minus_ewma,0.05,0.09033118078616166,5,0.0,0.029462782549439483,5,0.05,0.06846531968814577,5,0.1333333333333334,1.1925695879998877,5,0.03333333333333357,0.09947780321927784,5,0.0,0.0,5,0.0,0.0,5,0.00277777777777779,0.008289816934939825,5
switch_delay12,regime_marginal,observed,carry_minus_ewma,0.008333333333333326,0.01863389981249823,5,-0.05,0.054326686710022075,5,0.05,0.06846531968814577,5,-0.48686868686868684,0.4536461361627837,5,0.1,0.2527625148017182,5,0.0,0.0,5,0.0,0.0,5,0.008333333333333326,0.021063542900143173,5
switch_random,regime_conditional,clean,carry_minus_ewma,0.016666666666666663,0.022821773229381913,5,0.016666666666666663,0.022821773229381913,5,0.0,0.0,5,0.016666666666666784,0.38369548110737817,5,-0.08333333333333356,0.1640418307085793,5,0.0,0.0,5,0.0,0.0,5,-0.006944444444444464,0.013670152559048278,5
switch_random,regime_conditional,observed,carry_minus_ewma,0.0,0.029462782549439532,5,0.0,0.029462782549439532,5,0.0,0.0,5,-0.12515998707175183,0.18221894285662335,5,-0.09999999999999983,0.28957583923156743,5,0.0,0.0,5,0.0,0.0,5,-0.008333333333333326,0.024131319935963968,5
switch_random,regime_marginal,clean,carry_minus_ewma,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,-0.6,1.08397416943394,5,-0.05,0.09033118078616194,5,0.0,0.0,5,0.0,0.0,5,-0.004166666666666674,0.007527598398846828,5
switch_random,regime_marginal,observed,carry_minus_ewma,0.008333333333333326,0.01863389981249823,5,0.008333333333333326,0.01863389981249823,5,0.0,0.0,5,-0.13858585858585853,0.2832594116644677,5,-0.10833333333333287,0.22745573439926986,5,0.0,0.0,5,0.0,0.0,5,-0.009027777777777723,0.01895464453327248,5
