seed,scenario,method,temporal,view,event_index,sequence_index,channel,start,end_exclusive,duration,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped
42,steady_d12_n2_m1,regime_marginal,point,clean,0,0,0,116,128,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,1,0,2,1,13,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,2,1,1,0,12,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,3,1,2,63,75,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,4,2,0,104,116,12,True,True,False,6.0,6,1.0,False,0.5
42,steady_d12_n2_m1,regime_marginal,point,clean,5,2,1,8,20,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,6,3,2,142,154,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,7,3,2,88,100,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,8,4,0,101,113,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,9,4,1,39,51,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,10,5,2,70,82,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,11,5,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,12,6,0,75,87,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,13,6,1,5,17,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,14,7,1,140,152,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,15,7,0,9,21,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,16,8,2,12,24,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,17,8,0,55,67,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,18,9,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,19,9,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,20,10,2,120,132,12,False,False,False,,12,1.0,False,1.0
