split,threshold_name,corruption_type,num_corrupted,num_detected,recall
train,q90,bias,58,58,1
train,q99,bias,58,58,1
train,q90,drift,73,73,1
train,q99,drift,73,71,0.9726027397260274
train,q90,missing,68,53,0.77941176470588236
train,q99,missing,68,50,0.73529411764705888
train,q90,random_replacement,51,50,0.98039215686274506
train,q99,random_replacement,51,49,0.96078431372549022
train,q90,spike,58,58,1
train,q99,spike,58,58,1
val,q90,bias,20,20,1
val,q99,bias,20,20,1
val,q90,drift,6,6,1
val,q99,drift,6,6,1
val,q90,missing,16,12,0.75
val,q99,missing,16,12,0.75
val,q90,random_replacement,22,21,0.95454545454545459
val,q99,random_replacement,22,20,0.90909090909090906
val,q90,spike,22,22,1
val,q99,spike,22,22,1
